STT;Mã Đơn Vị;Mã khối;Tên Đơn Vị;Địa chỉ;Giờ;Thứ;Ngày;Tại;Địa chỉ
1;DI0001I;DI;Quận Uỷ Quận 9;2/304 Hòa Phú, P. Hiệp Phú, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
2;DI0003I;DI;Quận đoàn Quận 9;2/2B KP2   P.Hiệp Phú , Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
3;DI0004I;DI;Hội Nông dân Quận 9;Khu Phố 2. P. Tăng Nhơn Phú A Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
4;DI0005I;DI;Liên đoàn lao động Quận 9;36 Lê Văn Việt, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
5;DI0006I;DI;Hội Liên hiệp Phụ nữ Quận 9;Khu phố 2 , P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
6;DI0007I;DI;Mặt trận Tổ quốc Quận 9;Tổ 25 Thạnh Phú, P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
7;DI0008I;DI;Hội Cựu chiến binh Quận 9;Khu phố 2 , P. Tăng Nhơn Phú A, Quận 9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
8;DI0009I;DI;Hội Chữ Thập Đỏ Quận 9;KP2, Đường Lã Xuân Oai, P. Tăng Nhơn Phú A, Q.9;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
9;DI0010I;DI;Nhà Văn hóa Lao động Khu Công nghệ cao TP. Hồ Chí Minh;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM;8h30;Thứ tư;Ngày 25/10/2017;Hội Trường Bảo Hiểm Xã Hội Quận 9;442 Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9.
10;EB0001I;EB;HTX TM Hiệp Phú;55 Khu phố 3, Lê Văn Việt, P. Hiệp Phú, Qụân 9;8h30;Thứ ba;Ngày 24/10/2017;Nhà văn hóa lao động khu Công nghệ cao TP HCM;Lô S-VH, Đường D1, KCNC, P. Long Thạnh Mỹ, Quận 9, TP.HCM
