STT;Khoá;Nhóm;Mã lớp HP;tenmon;Số lượng;Số lượng;SLSV;Mã GV;Mã GV;Tuần;khoa dạy;malop;Tên giảng viên;Thứ 2;Thứ 3;Thứ 4;Thứ 5;Thứ 6;Thứ 7;CN
1;22;01;101126325202201;Bảo trì công nghiệp;57;57;0;11407;11407;"22-24;31-38";101;22N01(C1A);Đinh Đức Hạnh;1-3,F101;;;;;;
2;22;01;101226025202201;Thực tập kỹ thuật (CTM);57;57;0;"10320
";"10320
";25-27;101;22N01(C1A);"Nguyễn Tấn Minh
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
3;22;01;101291025202201;Tự động hóa quá trình sản xuất;57;57;0;10070;10070;"22-24;31-38";101;22N01(C1A);Lưu Đức Bình;8-10,F408;;;;;;
4;22;01;101292025202201;Công nghệ chế tạo máy;57;57;0;10436;10436;"22-24;31-38";101;22N01(C1A);Hoàng Văn Thạnh;;;6-8,F110;;;;
5;22;01;101293025202201;Công nghệ gia công tiên tiến;57;57;0;10436;10436;"22-24;31-38";101;22N01(C1A);Hoàng Văn Thạnh;;;;;8-10,F108;;
6;22;01;101294025202201;Trang bị công nghệ;57;57;0;10302;10302;"22-24;31-38";101;22N01(C1A);Châu Mạnh Lực;;;;6-8,F310;;;
7;22;01;101295025202201;ứng dụng CAD/CAE trong sản xuất;57;57;0;10353;10353;31-34;101;22N01(C1A);Nguyễn Phạm Thế Nhân;;;;;1-4,H107;;
8;22;01;105347025202201;Trang bị điện trong máy công nghiệp;57;57;0;10143;10143;"22-24;31-38";105;22N01(C1A);Nguyễn Quốc Định;;7-10,F310;;;;;
9;22;01A;101126325202201A;Bảo trì công nghiệp (Giảng dạy tiếng anh);25;25;0;11407;11407;"22-24;31-38";101;22N01(C1A);Đinh Đức Hạnh;;1-3,E1.204;;;;;
10;22;01A;101296025202201A;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N01(C1A);"Phạm Nguyễn Quốc Huy
";;;;;1-4,M206;;
11;22;01A;101297025202201A;PBL 4: Thiết kế máy công cụ;30;30;0;10185;10185;"22-24;31-38";101;22N01(C1A);Trần Ngọc Hải;;;;;;7-10,B101;
12;22;01B;101296025202201B;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N01(C1A);"Phạm Nguyễn Quốc Huy
";;;1-4,M206;;;;
13;22;01B;101297025202201B;PBL 4: Thiết kế máy công cụ;30;30;0;10554;10554;"22-24;31-38";101;22N01(C1A);Trần Xuân Tùy;;;;;;1-4,B101;
14;22;01C;101296025202201C;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N01(C1A);"Phạm Nguyễn Quốc Huy
";;;;1-4,M206;;;
15;22;02;101126325202202;Bảo trì công nghiệp;54;54;0;11407;11407;"22-27;34-38";101;22N02(C1B);Đinh Đức Hạnh;;;6-8,H108;;;;
16;22;02;101226025202202;Thực tập kỹ thuật (CTM);54;54;0;"10492
";"10492
";31-33;101;22N02(C1B);"Trần Văn Tiến
";1-10,XP;1-10,XP;1-10,XP;1-10,XP;1-10,XP;;
17;22;02;101291025202202;Tự động hóa quá trình sản xuất;54;54;0;10070;10070;"22-27;34-38";101;22N02(C1B);Lưu Đức Bình;;8-10,B207;;;;;
18;22;02;101292025202202;Công nghệ chế tạo máy;54;54;0;10436;10436;"22-27;34-38";101;22N02(C1B);Hoàng Văn Thạnh;1-3,F107;;;;;;
19;22;02;101293025202202;Công nghệ gia công tiên tiến;54;54;0;10436;10436;"22-27;34-38";101;22N02(C1B);Hoàng Văn Thạnh;;;;6-8,B207;;;
20;22;02;101294025202202;Trang bị công nghệ;54;54;0;10302;10302;"22-27;34-38";101;22N02(C1B);Châu Mạnh Lực;;;;;6-8,E1.205;;
21;22;02;101295025202202;ứng dụng CAD/CAE trong sản xuất;54;54;0;10353;10353;22-25;101;22N02(C1B);Nguyễn Phạm Thế Nhân;;;;;1-4,H107;;
22;22;02;105347025202202;Trang bị điện trong máy công nghiệp;54;54;0;10143;10143;"22-27;34-38";105;22N02(C1B);Nguyễn Quốc Định;7-10,B208;;;;;;
23;22;02A;101296025202202A;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N02(C1B);"Phạm Nguyễn Quốc Huy
";;;;;;7-10,M206;
24;22;02A;101297025202202A;PBL 4: Thiết kế máy công cụ;30;30;0;10353;10353;"22-27;34-38";101;22N02(C1B);Nguyễn Phạm Thế Nhân;;;;;;1-4,B102;
25;22;02B;101296025202202B;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N02(C1B);"Phạm Nguyễn Quốc Huy
";;;;;;1-4,M206;
26;22;02B;101297025202202B;PBL 4: Thiết kế máy công cụ;30;30;0;10586;10586;"22-27;34-38";101;22N02(C1B);Bùi Trương Vỹ;;;;;;7-10,B102;
27;22;03;101303025202203;Tư duy thiết kế và phát triển sản phẩm;53;53;0;10963;10963;"22-27;31-40";101;22N03(CKHK);Lê Hoài Nam;;;4-5,E2.102;;;;
28;22;03;101352025202203;Cơ học phá hủy;53;53;0;10062;10062;"22-27;31-40";101;22N03(CKHK);Tào Quang Bảng;;1-2,F310;;;;;
29;22;03;101353025202203;Trang bị điện-điện tử trong máy bay  ;53;53;0;11666;11666;"22-27;31-40";101;22N03(CKHK);Trương Sơn Hòa;;;;;;1-4,F103;
30;22;03;101354025202203;Các hệ thống trên máy bay;53;53;0;11613;11613;"22-27;31-40";101;22N03(CKHK);Trần Ngọc Linh;;;;;7-10,F307;;
31;22;03;101355025202203;Động cơ tua bin khí;53;53;0;10421;10421;"22-27;31-40";101;22N03(CKHK);Trần Thanh Sơn;;;;4-5,H108;;;
32;22;03;101356025202203;Thiết kế quy trình công nghệ chế tạo;53;53;0;10436;10436;"22-27;31-40";101;22N03(CKHK);Hoàng Văn Thạnh;;;;1-3,H108;;;
33;22;03;101367025202203;ứng dụng CAD/CAE trong sản xuất;53;53;0;10353;10353;"22-27;31-40";101;22N03(CKHK);Nguyễn Phạm Thế Nhân;1-2,E2.305;;;;;;
34;22;03A;101296025202203A;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N03(CKHK);"Phạm Nguyễn Quốc Huy
";7-10,M206;;;;;;
35;22;03A;101357025202203A;PBL 5: Thiết kế, phân tích các cơ cấu máy bay;30;30;0;10436;10436;"22-27;31-40";101;22N03(CKHK);Hoàng Văn Thạnh;;;1-3,E1.207;;;;
36;22;03B;101296025202203B;TH Ứng dụng CAD/CAE trong sản xuất (0.5TC);25;25;0;"10654
";"10654
";38-40;101;22N03(CKHK);"Phạm Nguyễn Quốc Huy
";;7-10,M206;;;;;
37;22;03B;101357025202203B;PBL 5: Thiết kế, phân tích các cơ cấu máy bay;30;30;0;10353;10353;"22-27;31-40";101;22N03(CKHK);Nguyễn Phạm Thế Nhân;3-5,A135;;;;;;
38;22;04;101008225202204;Công nghệ kim loại;58;58;0;10062;10062;"22-27;31-40";101;22N04(CDT1);Tào Quang Bảng;;3-4,B301;;;;;
39;22;04;101309025202204;Lập trình PLC nâng cao;58;58;0;10342;10342;"22-27;31-40";101;22N04(CDT1);Ngô Thanh Nghị;3-4,F106;;;;;;
40;22;04;101310025202204;Điều khiển Logic mờ;58;58;0;11486;11486;"22-27;31-40";101;22N04(CDT1);Phạm Anh Đức;;;;;;9-10,F109;
41;22;04;101311025202204;Thiết kế IoT và ứng dụng;58;58;0;10342;10342;"22-27;31-40";101;22N04(CDT1);Ngô Thanh Nghị;1-2,F106;;;;;;
42;22;04;101313025202204;Kỹ thuật thiết kế robot;58;58;0;10963;10963;"22-27;31-40";101;22N04(CDT1);Lê Hoài Nam;;;;;3-4,F106;;
43;22;04;101314025202204;Cảm biến thông minh;58;58;0;11681;11681;"22-27;31-40";101;22N04(CDT1);Đoàn Lê Anh;;;;;;6-7,F109;
44;22;04;101315025202204;Điều khiển tự động hiện đại;58;58;0;10680;10680;"22-27;31-40";101;22N04(CDT1);Võ Như Thành;;;1-2,H205;;;;
45;22;04;101316025202204;Mạng truyền thông công nghiệp;58;58;0;10528;10528;"22-27;31-40";101;22N04(CDT1);Nguyễn Thị Kim Trúc;;1-2,B301;;;;;
46;22;04;101317025202204;Tư duy công nghệ và thiết kế kỹ thuật;58;58;0;10963;10963;"22-27;31-40";101;22N04(CDT1);Lê Hoài Nam;;;;;1-2,F106;;
47;22;04;118075325202204;Quản lý Dự án;58;58;0;10788;10788;"22-27;31-40";118;22N04(CDT1);Trần Thị Hoàng Giang;;;;4-5,H205;;;
48;22;04;118093325202204;Quản trị học;58;58;0;11654;11654;"22-27;31-40";118;22N04(CDT1);Trần Minh Trí;9-10,H202;;;;;;
49;22;04A;101310025202204A;Điều khiển Logic mờ (Giảng dạy tiếng anh);25;25;0;11486;11486;"22-27;31-40";101;22N04(CDT1);Phạm Anh Đức;6-7,E2.203;;;;;;
50;22;04A;101319025202204A;PBL 5: Thiết kế hệ thống robot tiên tiến;30;30;0;10680;10680;"22-27;31-40";101;22N04(CDT1);Võ Như Thành;;;3-5,P1;;;;
51;22;04B;101319025202204B;PBL 5: Thiết kế hệ thống robot tiên tiến;30;30;0;10680;10680;"22-27;31-40";101;22N04(CDT1);Võ Như Thành;;;;1-3,E1.203;;;
52;22;05;101008225202205;Công nghệ kim loại;56;56;0;10799;10799;"22-27;31-40";101;22N05(CDT2);Võ Trần Anh;;;3-4,F307;;;;
53;22;05;101309025202205;Lập trình PLC nâng cao;56;56;0;10342;10342;"22-27;31-40";101;22N05(CDT2);Ngô Thanh Nghị;;3-4,H103;;;;;
54;22;05;101310025202205;Điều khiển Logic mờ;56;56;0;11486;11486;"22-27;31-40";101;22N05(CDT2);Phạm Anh Đức;;;;1-2,B208;;;
55;22;05;101311025202205;Thiết kế IoT và ứng dụng;56;56;0;10342;10342;"22-27;31-40";101;22N05(CDT2);Ngô Thanh Nghị;;1-2,H103;;;;;
56;22;05;101313025202205;Kỹ thuật thiết kế robot;56;56;0;10963;10963;"22-27;31-40";101;22N05(CDT2);Lê Hoài Nam;;;;;;3-4,H107;
57;22;05;101314025202205;Cảm biến thông minh;56;56;0;11681;11681;"22-27;31-40";101;22N05(CDT2);Đoàn Lê Anh;;;;;1-2,F302;;
58;22;05;101315025202205;Điều khiển tự động hiện đại;56;56;0;10680;10680;"22-27;31-40";101;22N05(CDT2);Võ Như Thành;1-2,F302;;;;;;
59;22;05;101316025202205;Mạng truyền thông công nghiệp;56;56;0;10528;10528;"22-27;31-40";101;22N05(CDT2);Nguyễn Thị Kim Trúc;;;1-2,F307;;;;
60;22;05;101317025202205;Tư duy công nghệ và thiết kế kỹ thuật;56;56;0;10963;10963;"22-27;31-40";101;22N05(CDT2);Lê Hoài Nam;;;;;;1-2,H107;
61;22;05;118075325202205;Quản lý Dự án;56;56;0;10788;10788;"22-27;31-40";118;22N05(CDT2);Trần Thị Hoàng Giang;3-4,F302;;;;;;
62;22;05;118093325202205;Quản trị học;56;56;0;11654;11654;"22-27;31-40";118;22N05(CDT2);Trần Minh Trí;;;;4-5,B208;;;
63;22;05A;101314025202205A;Cảm biến thông minh (Giảng dạy tiếng anh);25;25;0;11681;11681;"22-27;31-40";101;22N05(CDT2);Đoàn Lê Anh;;;;6-7,E1.202;;;
64;22;05A;101315025202205A;Điều khiển tự động hiện đại (Giảng dạy tiếng anh);25;25;0;10680;10680;"22-27;31-40";101;22N05(CDT2);Võ Như Thành;;;;9-10,E1.206;;;
65;22;05A;101319025202205A;PBL 5: Thiết kế hệ thống robot tiên tiến;30;30;0;11681;11681;"22-27;31-40";101;22N05(CDT2);Đoàn Lê Anh;;;;;3-5,B108;;
66;22;05B;101319025202205B;PBL 5: Thiết kế hệ thống robot tiên tiến;30;30;0;11681;11681;"22-27;31-40";101;22N05(CDT2);Đoàn Lê Anh;;;;;;8-10,B104;
67;22;06;101008225202206;Công nghệ kim loại;59;59;0;10799;10799;"22-27;31-40";101;22N06(CDT3);Võ Trần Anh;;;;1-2,F106;;;
68;22;06;101309025202206;Lập trình PLC nâng cao;59;59;0;10342;10342;"22-27;31-40";101;22N06(CDT3);Ngô Thanh Nghị;;;3-4,F310;;;;
69;22;06;101310025202206;Điều khiển Logic mờ;59;59;0;11486;11486;"22-27;31-40";101;22N06(CDT3);Phạm Anh Đức;;;;;1-2,H101;;
70;22;06;101311025202206;Thiết kế IoT và ứng dụng;59;59;0;10342;10342;"22-27;31-40";101;22N06(CDT3);Ngô Thanh Nghị;;;1-2,F310;;;;
71;22;06;101313025202206;Kỹ thuật thiết kế robot;59;59;0;10963;10963;"22-27;31-40";101;22N06(CDT3);Lê Hoài Nam;;;;;8-9,H205;;
72;22;06;101314025202206;Cảm biến thông minh;59;59;0;11681;11681;"22-27;31-40";101;22N06(CDT3);Đoàn Lê Anh;;;;;;4-5,F102;
73;22;06;101315025202206;Điều khiển tự động hiện đại;59;59;0;10680;10680;"22-27;31-40";101;22N06(CDT3);Võ Như Thành;;1-2,H205;;;;;
