DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1953-0019-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,Southern coast,,,No,No,No,,,Kph,,,,1953,9,26,1953,9,26,1000,,,,,,,,,,,9.156132559,,2006-09-17,2023-09-25
1956-0050-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1956,11,,1956,11,,56,,,,,,,,,,,9.288531531,,2003-07-01,2023-09-25
1964-0004-VNM,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Cholera,VNM,Viet Nam,South-eastern Asia,Asia,"Saigon, Mekong delta",,,Yes,No,No,,,,,,,1964,1,1,1964,1,1,598,,10848,,10848,,,,,,,10.59837602,,2003-07-01,2023-09-25
1964-0063-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Iris ,VNM,Viet Nam,South-eastern Asia,Asia,China sea coast,,,Yes,No,No,,,Kph,,,,1964,9,,1964,11,,7000,,700000,,700000,,,,,50000,471770,10.59837602,,2006-09-17,2023-09-25
1964-0102-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,12,,1964,12,,400,,,,,,,,,,,10.59837602,,2003-07-01,2023-09-25
1966-0070-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Near Cambodia border,,,Yes,No,No,,,Km2,,,,1966,9,20,1966,9,20,31,,125541,70361,195902,,,,,10000,90163,11.09099715,,2003-07-01,2023-09-25
1967-0025-VNM,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,VNM,Viet Nam,South-eastern Asia,Asia,"Saigon, Khanh Hoa",,,Yes,No,No,,,,,,,1967,3,6,1967,3,6,3,11,5000,,5011,,,,,500,4387,11.39852698,,2003-07-01,2023-09-25
1970-0059-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,North,,,No,No,No,,,Km2,,,,1970,10,26,1970,10,26,237,,204000,,204000,,,,,,,13.26647996,,2003-07-01,2023-09-25
1971-0029-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wanda,VNM,Viet Nam,South-eastern Asia,Asia,Quang Ngai province,,,No,No,No,,,Kph,,,,1971,5,1,1971,5,1,23,,50000,,50000,,,,,,,13.83598355,,2003-07-01,2023-09-25
1971-0057-VNM,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,VNM,Viet Nam,South-eastern Asia,Asia,North,,,No,No,No,,,Kph,,,,1971,10,23,1971,10,23,89,,,,,,,,,,,13.83598355,,2003-07-01,2023-09-25
