"stt","số_văn_bản","ngày_công_bố","tên_cơ_sở","địa_chỉ","người_đứng_đầu_phụ_trách_chuyên_môn","số_điện_thoại","công_bố_mới","công_bố_lại","dừng_hoạt_động","ghi_chú"
"1","2502/TB-FLC","13/1/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 156","Số 1 Hùng Nguyên, thị trấn Thường Tín, Thường Tín","Nguyễn Thị Thủy","18006928 0789154255","1","null","null","null"
"2","01/TB-HTP-TCVN","20/1/2025.","Trung tâm tiêm chủng vaccine TCVN - Trực thuộc công ty cổ phần dịch vụ y tế HTP Việt Nam","Số 183 - phố Chùa Thông, phường Sơn Lộc, Sơn Tây","Vi Thị Soan","986808612.0","null","1","null","null"
"3","02/TB-HTP-TCVN","20/1/2025.","Trung tâm tiêm chủng vaccine TCVN - Trực thuộc công ty cổ phần dịch vụ y tế HTP Việt Nam","Số 123 - tiểu khu Phú Mỹ, thị trấn Phú Xuyên, Phú Xuyên","Nguyễn Thị Thu","968518115.0","null","1","null","null"
"4","2504/TB-FLC","04/2/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 168","Số 07-09-11 Bắc Sơn, thị trấn Chúc Sơn, Chương Mỹ","Nguyễn Văn Đạt","18006928 0789154255","1","null","null","null"
"5","3419/TB-TTYT","6/12/2024 (SYT nhận 9/1/2025)","Trạm y tế phường Phú Đô","Tổ dân phố 6, phường Phú Đô, Nam Từ Liêm","Trần Linh Trang","855676898.0","null","1","null","null"
"6","3418/TB-TTYT","6/12/2024 (SYT nhận 8/1/2025)","Trạm y tế phường Mỹ Đình 2","Tổ dân phố 3, phường Mỹ Đình 2, Nam Từ Liêm","Lý Thị Ánh Nguyệt","987676333.0","null","1","null","null"
"7","03/TB-BVHN","2025-10-02 00:00:00","Phòng tiêm chủng trực thuộc Chi nhánh Công ty Cổ phần Bệnh viện Hữu nghị quốc tế Hà Nội-Bệnh viện Hữu nghị quốc tế Hà Nội","68-72 đường Tây Mỗ, TDP Phượng, phường Tây Mỗ, NTL","Đỗ Văn Dũng","976062938.0","null","1","null","null"
"8","01/TB-FUFUVAC","2025-11-02 00:00:00","Trung tâm tiêm chủng chất lượng cao FUFU VAC","513 Hà Huy Tập, xã Yên Viên, Gia Lâm","Nguyễn Hà Phương","838039966.0","null","1","null","null"
"9","2508/TB-FLC","11/2/2025.","Công ty cổ phần dược phẩm FPT Long Châu - Địa điểm kinh doanh Trung tâm tiêm chủng Long Châu 161","Số 39 đường Tây cao tốc, thôn Bầu, xã Kim Chung, Đông Anh","Phạm Đức Giang","18006928 0789154255","1","null","null","null"
"10","02/TB/SV-2025","03/1/2025.","Trung tâm tiêm chủng vắc xin dịch vụ VIETCARE","Lô TT56-TT57 khu đấu giá Ngũ Hiệp, xã Tứ Hiệp, Thanh Trì","Nguyễn Quang Nam","934489899.0","null","1","null","null"
