_id,So TT,"Ten hang hoa, dich vu",Gia kham chua benh theo yeu cau (DVT: dong)
1,1,Khám bệnh theo yêu cầu,103400
2,2,Khám bệnh yêu cầu bác sĩ,153400
3,3,Đăng ký khám bệnh qua tổng đài,108400
4,4,Đăng ký khám bệnh qua tổng đài (có yêu cầu chỉ định bác sĩ),178400
5,5,Tư vấn sức khỏe,100000
6,6,"Khám sức khoẻ theo yêu cầu (không kể XN, XQ)",250000
7,7,"Khám sức khỏe toàn diện cho người đi xuất khẩu lao động (không kể xét nghiệm, X-quang)",500000
8,8,"Phòng 01 người 02 giường (NỘI KHOA)_ Loại 1: Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson hoặc Lyell)",1355300
9,9,"Phòng 01 người 02 giường (NỘI KHOA)_Loại 2: Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT hoặc PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.",1329200
10,10,"Phòng 01 người 02 giường (NỘI KHOA)_Loại 3: Các khoa:  YHDT, Phục hồi chức năng",1293800
11,11,Phòng 01 người 02 giường (NGOẠI KHOA)_Loại 1: Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể,1439000
12,12,Phòng 01 người 02 giường (NGOẠI KHOA)_Loại 2: Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể,1408500
13,13,"Phòng 01 người 02 giường (NGOẠI KHOA)_Loại 3: Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể",1370500
14,14,"Phòng 01 người 02 giường (NGOẠI KHOA)Loại 4: Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể",1342100
15,15,"Phòng 01 người 03 giường (NỘI KHOA)_Loại 1: Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson hoặc Lyell)",1355300
16,16,"Phòng 01 người 03 giường (NỘI KHOA)_Loại 2: Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT hoặc PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.",1329200
17,17,"Phòng 01 người 03 giường (NỘI KHOA)_Loại 3: Các khoa:  YHDT, Phục hồi chức năng",1293800
18,18,Phòng 01 người 03 giường (NGOẠI KHOA)_Loại 1: Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể,1439000
19,19,Phòng 01 người 03 giường (NGOẠI KHOA)_Loại 2: Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể,1408500
20,20,"Phòng 01 người 03 giường (NGOẠI KHOA)_Loại 3: Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể",1370500
21,21,"Phòng 01 người 03 giường (NGOẠI KHOA)_Loại 4: Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể",1342100
22,22,"Phòng có 02 giường_Ngày giường bệnh Nội khoa (Loại 1): Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson hoặc Lyell)",705300
23,23,"Phòng có 02 giường_Ngày giường bệnh Nội khoa (Loại 2): Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT hoặc PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.",679200
24,24,"Phòng có 02 giường_Ngày giường bệnh Nội khoa (Loại 3): Các khoa:  YHDT, Phục hồi chức năng",643800
25,25,"Ngày giường bệnh ngoại khoa, bỏng_Loại 1: Sau các phẫu thuật loại đặc biệt; Bỏng độ 3-4 trên 70% diện tích cơ thể",789000
26,26,"Ngày giường bệnh ngoại khoa, bỏng_Loại 2: Sau các phẫu thuật loại 1; Bỏng độ 3-4 từ 25 -70% diện tích cơ thể",758500
27,27,"Ngày giường bệnh ngoại khoa, bỏng_Loại 3: Sau các phẫu thuật loại 2; Bỏng độ 2 trên 30% diện tích cơ thể, Bỏng độ 3-4 dưới 25% diện tích cơ thể",720500
28,28,"Ngày giường bệnh ngoại khoa, bỏng_Loại 4: Sau các phẫu thuật loại 3; Bỏng độ 1, độ 2 dưới 30% diện tích cơ thể",692100
29,29,"PHÒNG CÓ 03 GIƯỜNG_ Ngày giường bệnh Nội khoa (Loại 1) : Các khoa: Truyền nhiễm, Hô hấp, Huyết học, Ung thư, Tim mạch, Tâm thần, Thần kinh, Nhi, Tiêu hoá, Thận học; Nội tiết; Dị ứng (đối với bệnh nhân dị ứng thuốc nặng: Stevens Jonhson hoặc Lyell)",635300
30,30,"PHÒNG CÓ 03 GIƯỜNG_ Ngày giường bệnh Nội khoa (Loại 2): Các Khoa: Cơ-Xương-Khớp, Da liễu, Dị ứng, Tai-Mũi-Họng, Mắt, Răng Hàm Mặt, Ngoại, Phụ -Sản không mổ; YHDT hoặc PHCN cho nhóm người bệnh tổn thương tủy sống, tai biến mạch máu não, chấn thương sọ não.",609200
31,31,"PHÒNG CÓ 03 GIƯỜNG_ Ngày giường bệnh Nội khoa (Loại 3): Các khoa:  YHDT, Phục hồi chức năng",573800
