STT;Mã;Tên;Lĩnh vực;Cơ quan công bố
1;1.011812.000.00.00.H24;(Cấp tỉnh) Thủ tục công nhận kết quả nghiên cứu khoa học và phát triển công nghệ do tổ chức, cá nhân tự đầu tư nghiên cứu;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
2;1.011816.000.00.00.H24;(Cấp tỉnh) Thủ tục hỗ trợ kinh phí hoặc mua công nghệ được tổ chức, cá nhân trong nước tạo ra từ kết quả nghiên cứu khoa học và phát triển công nghệ để sản xuất sản phẩm quốc gia, trọng điểm, chủ lực;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
3;1.011814.000.00.00.H24;(Cấp tỉnh) Thủ tục hỗ trợ kinh phí, mua kết quả nghiên cứu khoa học và phát triển công nghệ do tổ chức, cá nhân tự đầu tư nghiên cứu;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
4;1.011815.000.00.00.H24;(Cấp tỉnh) Thủ tục mua sáng chế, sáng kiến;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
5;1.013852.H24;Bán Văn phòng công chứng theo loại hình doanh nghiệp tư nhân;Công chứng;UBND Thành phố Hải Phòng
6;1.012893.H24;Bán nhà ở cũ thuộc tài sản công;Nhà ở và công sở;UBND Thành phố Hải Phòng
7;1.013704.H24;Báo cáo tổ chức đại hội thành lập, đại hội nhiệm kỳ, đại hội bất thường của hội;Quản lý nhà nước về hội, quỹ;UBND Thành phố Hải Phòng
8;1.013729.H24;Báo cáo đưa người lao động Việt Nam đi làm việc ở nước ngoài của doanh nghiệp Việt Nam trúng thầu, nhận thầu công trình, dự án ở nước ngoài  .;Quản lý lao động ngoài nước;UBND Thành phố Hải Phòng
9;1.013728.H24;Báo cáo đưa người lao động Việt Nam đi làm việc ở nước ngoài của tổ chức, cá nhân Việt Nam đầu tư ra nước ngoài.;Quản lý lao động ngoài nước;UBND Thành phố Hải Phòng
10;1.000294.000.00.00.H24;Bãi bỏ đường ngang;Đường sắt;UBND Thành phố Hải Phòng
11;1.008922.000.00.00.H24;Bổ nhiệm Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
12;1.013803.H24;Bổ nhiệm công chứng viên;Công chứng;UBND Thành phố Hải Phòng
13;1.013871.H24;Bổ nhiệm giám định viên pháp y và pháp y tâm thần.;Tổ chức cán bộ;UBND Thành phố Hải Phòng
14;1.008924.000.00.00.H24;Bổ nhiệm lại Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
15;1.013804.H24;Bổ nhiệm lại công chứng viên;Công chứng;UBND Thành phố Hải Phòng
16;2.000581.000.00.00.H24;Bổ nhiệm và cấp thẻ giám định viên tư pháp;Giám định tư pháp;UBND Thành phố Hải Phòng
17;1.001122.H24;Bổ nhiệm và cấp thẻ giám định viên tư pháp cấp tỉnh;Giám định tư pháp;UBND Thành phố Hải Phòng
18;2.001116.000.00.00.H24;Bổ nhiệm và cấp thẻ giám định viên tư pháp xây dựng ở địa phương;Giám định tư pháp;UBND Thành phố Hải Phòng
19;1.014207.H24;"Bổ sung giấy phép tiến hành công việc bức xạ - sử dụng thiết bị bức xạ chụp cắt lớp vi tính tích hợp với PET (PET/CT), tích hợp với SPECT (SPECT/CT); thiết bị bức xạ phát tia X trong phân tích huỳnh quang tia X, phân tích nhiễu xạ tia X, soi bo mạch, soi hiển vi điện tử, soi kiểm tra an ninh";An toàn bức xạ và hạt nhân;UBND Thành phố Hải Phòng
20;1.008909.H24;Bổ sung hoạt động hòa giải thương mại cho Trung tâm trọng tài;Hòa giải thương mại;UBND Thành phố Hải Phòng
21;1.014291.H24;Bổ sung khối lượng công tác thăm dò khi giấy phép thăm dò khoáng sản đã hết thời hạn (cấp Tỉnh);Địa chất và khoáng sản;UBND Thành phố Hải Phòng
22;1.010825.000.00.00.H24;Bổ sung tình hình thân nhân trong hồ sơ liệt sĩ.;Người có công;UBND Thành phố Hải Phòng
