STT;Vị trí xếp giá;Mã xếp giá;Số lượng;Nhan đề;Nhan đề song song;Tác giả;Thể loại;Tập;Năm XB;Lần XB;Nhà XB;Ngôn ngữ;Mã quốc tế;;;
-1;010;010-001-1;1;Encyclopedia Americana 1 (A to Anjou);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
0;010;010-001-2;1;Encyclopedia Americana 2 (Ankara to Azusa);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
1;010;010-001-3;1;Encyclopedia Americana 3 (B to Birling);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
2;010;010-001-4;1;Encyclopedia Americana 4 (Birmingham to Burlington);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
3;010;010-001-5;1;Encyclopedia Americana 5 (Burma to Cathay);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
4;010;010-001-6;1;Encyclopedia Americana 6 (Cathedrals to Civil war);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
5;010;010-001-7;1;Encyclopedia Americana 7 (Civilization to Coronium);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
6;010;010-001-8;1;Encyclopedia Americana 8 (Corot to Desdemona);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
7;010;010-001-9;1;Encyclopedia Americana 9 (Desert to Egret);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
8;010;010-001-10;1;Encyclopedia Americana 10 (Egypt to Falsetto);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
9;010;010-001-11;1;Encyclopedia Americana 11 (Falstaff to Francke);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
10;010;010-001-12;1;Encyclopedia Americana 12 (Franco to Goethal);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
11;010;010-001-13;1;Encyclopedia Americana 13 (Goetheto Hearst);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
12;010;010-001-14;1;Encyclopedia Americana 14 (Heart to India);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
13;010;010-001-15;1;Encyclopedia Americana 15 (Indian to Jeffer);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
14;010;010-001-16;1;Encyclopedia Americana 16 (Jefferson to Latin);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
15;010;010-001-17;1;Encyclopedia Americana 17 (Latin America to Lytton);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
16;010;010-001-18;1;Encyclopedia Americana 18 (M to Mexico City);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
17;010;010-001-19;1;Encyclopedia Americana 19 (Meyer to Nauvoo);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
18;010;010-001-20;1;Encyclopedia Americana 20 (Navajo to Opium);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
19;010;010-001-21;1;Encyclopedia Americana 21 (Oporto to Photoengraving );-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
20;010;010-001-22;1;Encyclopedia Americana 22 (Photography to Pumpkin);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
21;010;010-001-23;1;Encyclopedia Americana 23 (Pumps to Russell);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
22;010;010-001-24;1;Encyclopedia Americana 24 (Russia to Skimmer);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
23;010;010-001-25;1;Encyclopedia Americana 25(Skin to Sumac);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
24;010;010-001-26;1;Encyclopedia Americana 26 (Sumatra to Trampoline);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
25;010;010-001-27;1;Encyclopedia Americana 27(Trance to Venial Sin);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
26;010;010-001-28;1;Encyclopedia Americana 28(Venice to Wilmot, John);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
27;010;010-001-29;1;Encyclopedia Americana 29 (Wilmot Proviso to Zygote);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
28;010;010-001-30;1;Encyclopedia Americana 30 (Index);-;Grolier Incorporated;Bách khoa toàn thư;0;1996;0;Grolier Incorporated;English;-;;;
29;010;010-002-1;1;世界大百科事典1;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;4-582-02200-6;;;
30;010;010-002-2;1;世界大百科事典2;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;0;0;平凡社;Japanese;-;;;
31;010;010-002-3;1;世界大百科事典3;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
32;010;010-002-4;1;世界大百科事典4;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
33;010;010-002-5;1;世界大百科事典5;Heibonsha`s world encyclopedia 5;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
34;010;010-002-6;1;世界大百科事典6;Heibonsha`s world encyclopedia 6;平凡社;Bách khoa toàn thư;0;1998;0;平凡社;Japanese;-;;;
35;010;010-002-7;1;世界大百科事典7;Heibonsha`s World encyclopedia 7;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
36;010;010-002-8;1;世界大百科事典8;Heibonsha`s world encyclopedia 8;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
37;010;010-002-9;1;世界大百科事典9;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
38;010;010-002-10;1;世界大百科事典10;Heibonsha`s world encyclopedia 10;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
39;010;010-002-11;1;世界大百科事典11;Heibonsha`sworld encyclopedia 11;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
40;010;010-002-12;1;世界大百科事典12;Heibonsha`s world encyclopedia 12;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
41;010;010-002-13;1;世界大百科事典13;Heibonsha`s world encyclopedia 13;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
42;010;010-002-14;1;世界大百科事典14;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
43;010;010-002-15;1;世界大百科事典15;Heibonsha`s world encyclopedia 15;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
44;010;010-002-16;1;世界大百科事典16;Heibonsha`sworld encyclopedia 16;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
45;010;010-002-17;1;世界大百科事典17;Heibonsha`sworld encyclopedia 17;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
46;010;010-002-18;1;世界大百科事典18;Heibonsha`s world encyclopedia 18;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
47;010;010-002-19;1;世界大百科事典19;Heibonsha`sworld encyclopedia 19;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
48;010;010-002-20;1;世界大百科事典20;Heibonsha`s world encyclopedia 20;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
49;010;010-002-21;1;世界大百科事典21;Heibonsha`sworld encyclopedia 21;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
50;010;010-002-22;1;世界大百科事典22;Heibonsha`s world encyclopedia 21;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
51;010;010-002-23;1;世界大百科事典23;Heibonsha`s world encyclopedia 22;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
52;010;010-002-24;1;世界大百科事典24;Heibonsha`sworld Encyclopedia 23;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
53;010;010-002-25;1;世界大百科事典25;Heibonsha`s world encyclopedia 24;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
54;010;010-002-26;1;世界大百科事典26;Heibonsha`s world encyclopedia 25;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
55;010;010-002-27;1;世界大百科事典27;Heibonsha`sworld encyclopedia 26;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
56;010;010-002-28;1;世界大百科事典28;Heibonsha`sworld encyclopedia 27;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
57;010;010-002-29;1;世界大百科事典29;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
58;010;010-002-30;1;世界大百科事典30;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
59;010;010-002-31;1;世界大百科事典31;Heibonsha`s world encyclopedia;平凡社;Bách khoa toàn thư;0;1988;0;平凡社;Japanese;-;;;
60;010;010-002-32;1;世界大百科事典・百科年鑑’96;-;平凡社;Bách khoa toàn thư;0;1996;0;平凡社;Japanese;-;;;
61;010;010-002-33;1;世界大百科事典・百科年鑑’97;-;平凡社;Bách khoa toàn thư;0;1997;0;平凡社;Japanese;-;;;
62;010;010-002-34;2;世界大百科事典・日本地図;-;平凡社;Bách khoa toàn thư;0;1991;0;平凡社;Japanese;-;;;
63;010;010-002-35;2;世界大百科事典・世界地図;-;平凡社;Bách khoa toàn thư;0;1991;0;平凡社;Japanese;-;;;
64;010;010-002-36;2;世界大百科事典・百科使鑑;-;平凡社;Bách khoa toàn thư;0;1991;0;平凡社;Japanese;-;;;
65;020;020-001-1;1;東南アジア研究 Vol 50 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;5638682;;;
66;020;020-001-2;1;東南アジア研究 Vol 50 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2013;1;Center for Southest Asian Studies, Kyoto University;Japanese;5638682;;;
67;020;020-001-3;1;東南アジア研究 Vol 51 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2013;1;Center for Southest Asian Studies, Kyoto University;Japanese;5638682;;;
68;020;020-001-4;1;東南アジア研究 Vol 51 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2014;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
69;020;020-001-5;1;東南アジア研究 Vol 52 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;0;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
70;020;020-001-6;1;東南アジア研究 Vol 52 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2015;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
71;020;020-001-7;1;東南アジア研究 Vol 53 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2015;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
72;020;020-001-8;1;東南アジア研究 Vol 53 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2016;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
73;020;020-001-9;1;東南アジア研究 Vol 54 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2016;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
74;020;020-001-10;1;東南アジア研究 Vol 54 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2017;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
75;020;020-001-11;1;東南アジア研究 Vol 55 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;2017;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
76;020;020-001-12;0;東南アジア研究 Vol 55 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
77;020;020-001-13;0;東南アジア研究 Vol 56 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
78;020;020-001-14;0;東南アジア研究 Vol 56 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
79;020;020-001-15;0;東南アジア研究 Vol 57 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
80;020;020-001-16;0;東南アジア研究 Vol 57 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
81;020;020-001-17;0;東南アジア研究 Vol 58 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
82;020;020-001-18;0;東南アジア研究 Vol 58 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
83;020;020-001-19;0;東南アジア研究 Vol 59 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
84;020;020-001-20;0;東南アジア研究 Vol 59 No.2;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
85;020;020-001-21;1;東南アジア研究 Vol 60 No.1;Southest Asian Studies;Nhiều tác giả;Tổng hợp chung;0;0;1;Center for Southest Asian Studies, Kyoto University;Japanese;05638682;;;
86;020;020-002-1;1;Southeast asian studies vo1. 1 no. 1 2012;CSEAS;Various;Tổng hợp chung;0;2012;1;CSEAS;English;21867275;;;
87;020;020-002-2;1;Southeast asian studies vo1. 2 no. 1 2013;CSEAS;Various;Tổng hợp chung;0;2013;1;CSEAS;English;21867275;;;
88;020;020-002-3;1;Southeast asian studies vo1. 2 no. 2 2013;CSEAS;Various;Tổng hợp chung;0;2013;1;CSEAS;English;21867275;;;
89;020;020-002-4;1;Southeast asian studies vo1. 2 no.3 2013;CSEAS;Various;Tổng hợp chung;0;2013;1;CSEAS;English;21867275;;;
90;020;020-002-5;1;Southeast asian studies vo1. 3 no. 1 2014;CSEAS;Various;Tổng hợp chung;0;2014;1;CSEAS;English;21867275;;;
91;020;020-002-6;1;Southeast asian studies vo1. 3 no. 2 2014;CSEAS;Various;Tổng hợp chung;0;2014;0;CSEAS;English;21867275;;;
92;020;020-002-7;1;Southeast asian studies vo1. 3 no. 3 2014;CSEAS;Various;Tổng hợp chung;0;2014;0;CSEAS;English;21867275;;;
93;020;020-002-8;1;Southeast asian studies vo1. 3 supplementary issue 2015;CSEAS;Various;Tổng hợp chung;0;2015;1;CSEAS;English;21867275;;;
94;020;020-002-9;1;Southeast asian studies vo1. 4 No. 1 2015;CSEAS;Various;Tổng hợp chung;0;2015;1;CSEAS;English;21867275;;;
95;020;020-002-10;1;Southeast asian studies vo1. 4 No. 2 2015;CSEAS;Various;Tổng hợp chung;0;2015;1;CSEAS;English;21867275;;;
96;020;020-002-11;1;Southeast asian studies vo1. 4 No. 3 2015;CSEAS;Various;Tổng hợp chung;0;2015;1;CSEAS;English;21867275;;;
97;020;020-002-12;1;Southeast asian studies vo1. 5 No. 2 2016;CSEAS;Various;Tổng hợp chung;0;2016;1;CSEAS;English;21867275;;;
98;020;020-002-13;1;Southeast asian studies vo1. 5 No. 3 2016;CSEAS;Various;Tổng hợp chung;0;2016;1;CSEAS;English;21867275;;;
99;020;020-002-14;1;Southeast asian studies vo1. 6 No. 1 2017;CSEAS;Various;Tổng hợp chung;0;2017;1;CSEAS;English;21867275;;;
100;020;020-002-15;1;Southeast asian studies vo1. 6 No. 2 2017;CSEAS;Various;Tổng hợp chung;0;2017;1;CSEAS;English;21867275;;;
101;020;020-003-1;1;ニューヨークコロンビア大学の日本研究2000年秋;-;今井雅晴;Tổng hợp chung;0;2001;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
102;020;020-003-2;1;中国・大連と日本研究;-;今井雅晴;Tổng hợp chung;0;2004;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
103;020;020-003-3;1;中国・大連の筑波大学ー日本語・日本文化学類の出張講義ー世界の中の筑波大学1;-;今井雅晴;Tổng hợp chung;0;2005;1;筑波大学第二学群・日本語・日本文化学類;Japanese;-;;;
