STT;Mã;Tên công ty;Sàn;Phân ngành - L1;Phân ngành - L2;Phân ngành - L3;Phân ngành - L4;Phân ngành - L5;"Vốn hóa
(tỷ VNĐ)"
1;MWG;Thế giới di động;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;95.755
2;FRT;Bán lẻ FPT;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;22.957
3;DGW;Thế Giới Số;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;9.241
4;DHT;Dược phẩm Hà Tây;HNX;Dịch vụ Tiêu dùng;Bán lẻ;Phân phối thực phẩm & dược phẩm;Phân phối dược phẩm;Phân phối dược phẩm;5.780
5;SAS;DV Hàng không sân bay TSN;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;4.130
6;PET;Dịch vụ Tổng hợp Dầu khí;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;2.812
7;AST;Dịch vụ Hàng không Taseco;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;2.498
8;HTM;Thương mại Hà Nội - Hapro;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Các dịch vụ kinh doanh bán lẻ khác;2.335
9;AGX;Nông sản Xuất khẩu Sài Gòn;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Phân phối thực phẩm & dược phẩm;Phân phối thực phẩm;Phân phối thực phẩm;879
10;PSD;Phân phối Tổng hợp Dầu khí;HNX;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;679
11;BTT;TM - DV Bến Thành;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Đại siêu thị;489
12;COM;Vật tư Xăng dầu;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;409
13;SBV;Siam Brothers Việt Nam;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;281
14;AFX;Xuất Nhập khẩu Nông sản Thực phẩm An Giang;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Phân phối thực phẩm & dược phẩm;Phân phối thực phẩm;Phân phối thực phẩm;261
15;KGM;XNK Kiên Giang;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Cửa hàng tiện dụng;177
16;CMV;Thương nghiệp Cà Mau;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Siêu thị;163
17;PNG;Thương Mại Phú Nhuận;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Các dịch vụ kinh doanh bán lẻ khác;158
18;PIT;XNK PETROLIMEX;HOSE;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Các dịch vụ kinh doanh bán lẻ khác;72
19;CEN;CENCON Việt Nam;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Các dịch vụ kinh doanh bán lẻ khác;47
20;BSC;Dịch vụ Bến Thành;HNX;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;46
21;TH1;XNK Tổng hợp 1;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Phân phối thực phẩm & dược phẩm;Phân phối thực phẩm;Phân phối thực phẩm;43
22;FHN;XNK lương thực Hà Nội;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Phân phối thực phẩm & dược phẩm;Phân phối thực phẩm;Phân phối thực phẩm;42
23;THS;Thanh Hoa Sông Đà;HNX;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Siêu thị;39
24;HTT;Thương mại Hà Tây;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Các dịch vụ kinh doanh bán lẻ khác;28
25;TOP;Phân phối Top One;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Siêu thị;28
26;TV6;TM ĐT xây lắp điện Thịnh Vượng;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Phân phối hàng chuyên dụng;Phân phối hàng chuyên dụng;21
27;HFX;XNK Thanh Hà;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Online;9
28;DKC;Chợ Lạng Sơn;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Bán lẻ phức hợp;Đại siêu thị;2
29;CPH;PV mai táng Hải Phòng;UPCoM;Dịch vụ Tiêu dùng;Bán lẻ;Bán lẻ;Dịch vụ tiêu dùng chuyên ngành;Dịch vụ tiêu dùng chuyên ngành;1
30;BVH;Tập đoàn Bảo Việt;HOSE;Tài chính;Bảo hiểm;Bảo hiểm nhân thọ;Bảo hiểm nhân thọ;Bảo hiểm nhân thọ;32.180
31;PVI;Bảo hiểm PVI;HNX;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;11.126
32;VNR;Tái bảo hiểm Quốc gia;HNX;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Tái bảo hiểm;Tái bảo hiểm;3.797
33;BIC;Bảo hiểm BIDV;HOSE;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;3.677
34;MIG;Bảo hiểm Quân đội;HOSE;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;2.849
35;BMI;Bảo hiểm Bảo Minh;HOSE;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;2.653
36;PTI;Bảo hiểm Bưu điện;HNX;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;2.532
37;PGI;Bảo hiểm PJICO;HOSE;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;2.490
38;PRE;Tái bảo hiểm PVI;HNX;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Tái bảo hiểm;Tái bảo hiểm;1.942
39;ABI;BH NH Nông Nghiệp;UPCoM;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;1.781
40;AIC;Bảo hiểm Hàng không;UPCoM;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;1.100
41;BHI;Bảo hiểm Sài Gòn - Hà Nội;UPCoM;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;1.060
42;BLI;Bảo hiểm Nhà Rồng;UPCoM;Tài chính;Bảo hiểm;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;Bảo hiểm phi nhân thọ;564
43;VHM;Vinhomes;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;190.939
44;VIC;VinGroup;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;158.873
45;BCM;Becamex IDC;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;67.896
46;VRE;Vincom Retail;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Phát triển & vận hành Bất động sản khác;41.243
47;KDH;Nhà Khang Điền;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;33.519
48;SSH;Phát triển Sunshine Homes;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;25.200
49;NVL;Novaland;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;19.891
50;KBC;TCT Đô thị Kinh Bắc;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;19.881
51;PDR;BĐS Phát Đạt;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;18.903
52;IDC;IDICO;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;17.457
53;VPI;Đầu tư Văn Phú - Invest;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;16.640
54;NLG;BĐS Nam Long;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;14.910
55;SIP;Đầu tư Sài Gòn VRG;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;14.758
56;THD;Công ty Thaiholdings;HNX;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản thương mại;13.475
57;DIG;DIC Corp;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;12.837
58;KSF;Tập đoàn Sunshine;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Phát triển & vận hành Bất động sản khác;12.150
59;DXG;Địa ốc Đất Xanh;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;11.964
60;TCH;ĐT DV Tài chính Hoàng Huy;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;10.424
61;HDG;Tập đoàn Hà Đô;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;8.946
62;KOS;Công ty KOSY;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;8.324
63;CEO;Tập đoàn CEO;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;8.322
64;SJS;SJ Group;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;7.460
65;SZC;Sonadezi Châu Đức;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;6.902
66;TAL;Đầu Tư Bất Động Sản Taseco;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;5.346
67;VCR;Vinaconex - ITC;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Phát triển & vận hành Bất động sản khác;5.103
68;IJC;Becamex IJC;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;5.062
69;HDC;Phát triển Nhà BR-VT;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;4.851
70;TID;Tổng Công ty Tín Nghĩa;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;4.737
71;NTC;KCN Nam Tân Uyên;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;4.619
72;VC3;Tập đoàn Nam Mê Kông;HNX;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản dân cư;3.542
73;DXS;Dịch vụ BĐS Đất Xanh;HOSE;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản bán lẻ;3.411
74;CRE;Bất động sản Thế Kỷ;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;3.199
75;QCG;Quốc Cường Gia Lai;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.999
76;NTL;Đô thị Từ Liêm;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.610
77;TIG;Tập đoàn Đầu tư Thăng Long;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.517
78;FLC;Tập đoàn FLC;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.485
79;AGG;Bất động sản An Gia;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.454
80;SGR;Địa ốc Sài Gòn;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.454
81;KHG;Tập đoàn Khải Hoàn Land;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.355
82;NBB;577 CORP;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.349
83;CKG;Xây dựng Kiên Giang;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.339
84;ITA;Đầu tư CN Tân Tạo;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;2.205
85;SCR;TTC Land;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;2.109
86;SZG;Sonadezi Giang Điền;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.845
87;HQC;Địa ốc Hoàng Quân;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;1.816
88;LHG;KCN Long Hậu;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.773
89;TIP;PT KCN Tín Nghĩa;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.450
90;DTD;Đầu tư Phát triển Thành Đạt;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.414
91;HPX;Đầu tư Hải Phát;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;1.369
92;IDV;PT Hạ tầng Vĩnh Phúc;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.345
93;SZB;Sonadezi Long Bình;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.233
94;SID;Đầu tư PT Sài Gòn Co.op;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;1.200
95;SZL;Sonadezi Long Thành;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.148
96;PXL;KCN Dầu khí Long Sơn;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;1.148
97;VGV;Tư vấn Xây dựng Việt Nam;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Phát triển & vận hành Bất động sản khác;1.059
98;IDJ;Đầu tư IDJ Việt Nam;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;1.058
99;ITC;Đầu tư kinh doanh Nhà;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;1.041
100;TEG;TECGROUP;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;1.039
101;TDC;Becamex TDC;HOSE;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản dân cư;992
102;TIX;TANIMEX;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;990
103;D2D;Phát triển Đô thị số 2;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;973
104;BVL;BV Land;UPCoM;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản thương mại;911
105;LSG;BĐS Sài Gòn Vina;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;897
106;HPI;Khu công nghiệp Hiệp Phước;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;888
107;MH3;KCN Cao su Bình Long;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;792
108;VPH;Vạn Phát Hưng;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;763
109;NVT;Ninh Vân Bay;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;723
110;HTN;Hưng Thịnh Incons;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;674
111;API;Đầu tư Châu Á - Thái Bình Dương;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;647
112;NDN;PT Nhà Đà Nẵng;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;645
113;FDC;FIDECO;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;618
114;VRG;PT Đô thị và KCN Cao su VN;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;604
115;TN1;Rox Key Holdings;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Phát triển & vận hành Bất động sản khác;587
116;VHD;PT Nhà và Đô thị Vinaconex;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;566
117;HLD;Bất động sản HUDLAND;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;534
118;KAC;Địa ốc Khang An;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;504
119;LDG;Đầu tư LDG;HOSE;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản dân cư;487
120;CCL;ĐT & PT Đô thị Dầu khí Cửu Long;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;486
121;TLD;ĐT XD và PT Đô thị Thăng Long;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;435
122;XDH;Đầu tư XD Dân dụng Hà Nội;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;419
123;HRB;Harec Đầu tư và Thương Mại;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;390
124;VRC;Bất động sản và Đầu tư VRC;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;388
125;AAV;Việt Tiên Sơn Địa ốc;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;379
126;FIR;Địa ốc First Real;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;375
127;NRC;Tập đoàn Danh Khôi;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;352
128;C21;Thế kỷ 21;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;341
129;HAR;BĐS An Dương Thảo Điền;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;326
130;TDH;Thủ Đức House;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;284
131;MA1;MACHINCO1;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;277
132;PTL;Victory Capital;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;251
133;VSI;Đầu tư và Xây dựng Cấp thoát nước;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Văn phòng cho thuê;238
134;DRH;DRH Holdings;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;235
135;HD6;Phát triển nhà số 6 Hà Nội;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;214
136;PVL;Đầu tư Nhà Đất Việt;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;194
137;AMD;FLC Stone;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;180
138;HD2;Đầu tư phát triển nhà HUD 2;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;171
139;RCL;Địa Ốc Chợ Lớn;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;166
140;LEC;BĐS Điện lực Miền Trung;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;151
141;LGL;Long Giang Land;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản công nghiệp;128
142;MGR;Tập đoàn MGROUP;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;94
143;VNI;ĐT BĐS Việt Nam;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;91
144;HD8;PT Nhà và Đô thị HUD8;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;85
145;PV2;Đầu tư PV2;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;85
146;D11;Địa ốc 11;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;79
147;V21;Vinaconex 21;HNX;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;73
148;DTA;BĐS Đệ Tam;HOSE;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;72
149;TBR;Địa ốc Tân Bình;UPCoM;Tài chính;Bất động sản;Bất động sản;Bất động sản;Bất động sản dân cư;56
150;PIV;PIV JSC;UPCoM;Tài chính;Bất động sản;Bất động sản;Tư Vấn, Định giá, Môi giới Bất động sản;Dịch vụ Bất động sản Công nghiệp;56
