STT;Tên trang thiết bị;Chủng loại  (model) / Mã sản phẩm;Số lưu hành hoặc số giấy phép nhập khẩu;Năm sản xuất;Nước sản xuất;Hãng sản xuất;Hãng/ nước chủ sở hữu;Đơn vị tính; Số lượng ; Đơn giá trúng thầu (VNĐ) ;Tính năng kỹ thuật cơ bản;Đơn vị trúng thầu;Mã số thuế của đơn vị trúng thầu;Tên cơ sở y tế tổ chức đấu thầu;Số/ngày ban hành Quyết định trúng thầu;;;;;;;;;
1;01163 STA - NeoPTimal 5;01163 STA - NeoPTimal 5;9221NK/BYT-TB-CT;Từ 2023 trở đi;Pháp;Stago;Stago/ Pháp;Hộp; 31 ; 3.150.000 ;Hóa chất xét nghiệm PT trên máy đông máu tự động: - R1: chứa thromboplastin đông khô được chiết xuất từ não thỏ. Ngoài ra còn chứa một chất ức chế heparin đặc hiệu. - R2: dung môi hòa tan có chứa canxi.;Công ty Cổ phần thiết bị y tế Thuận Thành;0108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1003/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
2;00669 STA - Thrombin 10;00669 STA - Thrombin 10;9221NK/BYT-TB-CT;Từ 2023 trở đi;Pháp;Stago;Stago/ Pháp;Hộp; 2 ;17.619.000;Hóa chất xét nghiệm thời gian Thrombin. Chứa thrombin citrat canxi (người), khoảng 1.5 NIH unit/ml, dạng đông khô.;Công ty Cổ phần thiết bị y tế Thuận Thành;0108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1003/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
3;00662 STA - Liatest D-Di Plus;00662 STA - Liatest D-Di Plus;230000191/PCBB-BYT;Từ 2023 trở đi;Pháp;Stago;Stago/ Pháp;Hộp; 1 ;50.022.000;Định lượng D-Dimer huyết tương tĩnh mạch bằng phương pháp đo miễn dịch độ đục. Hóa chất gồm: Thuốc thử 1: Dung dịch đệm chứa tác nhân ngăn chặn dị kháng thể (bao gồm yếu tố dạng thấp). Thuốc thử 2: dung dịch huyền phù vi hạt latex được phủ bởi hai kháng thể đơn dòng khác nhau kháng D-dimer người.;Công ty Cổ phần thiết bị y tế Thuận Thành;0108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1003/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
4;00526 STA - Liatest Control N+P;00526 STA - Liatest Control N+P;230000191/PCBB-BYT;Từ 2023 trở đi;Pháp;Stago;Stago/ Pháp;Hộp; 1 ;13.776.000;Chất kiểm chuẩn cho xét nghiệm D-Dimer, Yếu tố VWF và protein S FreeCung cấp huyết tương bình thường và bất thường dành cho việc kiểm soát chất lượng các xét nghiệm kháng nguyên bằng phương pháp miễn dịch độ đục.;Công ty Cổ phần thiết bị y tế Thuận Thành;0108374963;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1003/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
5;Elecsys proBNP II;09315268190, Elecsys proBNP II;2300143ĐKLH/BYT-TB-CT;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 3 ; 26.345.340 ;"M: Vi hạt phủ streptavidin. 
 R1: Kháng thể đơn dòng kháng NT‑proBNP đánh dấu biotin; đệm phosphate . 
 R2: Kháng thể đơn dòng kháng NT‑proBNP đánh dấu phức hợp ruthenium ; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
6;Elecsys CA 125 II;11776223190, Elecsys CA 125 II;2200287ĐKLH/BYT-TB-CT;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 1 ; 8.095.185 ;"M: Vi hạt phủ Streptavidin 
 R1: Kháng thể đơn dòng kháng CA 125 đánh dấu biotin ; đệm phosphate 
 R2: Kháng thể đơn dòng kháng CA 125 đánh dấu phức hợp ruthenium ; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
7;Elecsys Ferritin;03737551190, Elecsys Ferritin;230001371/PCBB-HCM;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 3 ; 4.537.785 ;"M: Vi hạt phủ Streptavidin. 
 R1: Kháng thể đơn dòng kháng ferritin đánh dấu biotin; đệm phosphate. 
 R2: Kháng thể đơn dòng kháng ferritin đánh dấu phức hợp ruthenium; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
8;Elecsys HCG+β;03271749190, Elecsys HCG+β;SPCĐ-TTB-0241-16;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 2 ; 4.159.575 ;"M Vi hạt phủ Streptavidin (nắp trong). 1 chai. 6.5 ml: Vi hạt phủ Streptavidin 0.72 mg/ml; chất bảo quản. 
 R1 Anti-hCG-Ab~biotin (nắp xám). 1 chai. 9 ml: Kháng thể đơn dòng kháng hCG đánh dấu biotin (chuột) 2.6 mg/L; đệm phosphate 40 mmol/L. pH 7.5; chất bảo quản. 
 R2 Anti-hCG-Ab~Ru(bpy) (nắp đen). 1 chai. 10 ml: Kháng thể đơn dòng kháng hCG (chuột) đánh dấu phức hợp ruthenium 4.6 mg/L; đệm phosphate 40 mmol/L. pH 6.5; chất bảo quản.";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
9;Elecsys HBsAg II;08814856190, Elecsys HBsAg II;2301165ĐKLH/BYT-HTTB;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 15 ; 2.773.050 ;"M: Vi hạt phủ streptavidin. 
 R1: Hai kháng thể đơn dòng đặc hiệu kháng HBsAg ; đệm phosphate. 
 R2: Kháng thể đơn dòng kháng HBsAg , kháng thể đa dòng kháng HBsAg đánh dấu phức hợp ruthenium; đệm phosphate";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
10;PreciControl HBsAg II;04687876190, PreciControl HBsAg II;2301176ĐKLH/BYT-HTTB;Từ 2023 trở đi;Đức;Roche Diagnostics GmbH;Roche Diagnostics GmbH/ Đức;Hộp; 2 ; 1.764.735 ;"▪ PC HBSAGII1: huyết thanh chứng Huyết thanh người, âm tính với HBsAg; chất bảo quản. Khoảng giới hạn đích cho chỉ số ngưỡng: 0.0‑0.80 ▪ PC HBSAGII2: huyết thanh chứng HBsAg (người) khoảng 0.2 IU/mL trong huyết thanh người; chất bảo quản. Khoảng giới hạn đích cho chỉ số ngưỡng: 2.6‑5.0";Công ty Cổ phần TBYT Thành An;0106622681;Bệnh viện Đa khoa tỉnh Lạng Sơn;Số 1004/QĐ-BVĐK, ngày 8/10/2024;;;;;;;;;
