_id,STT,Don vi quan ly,Ten don vi,Dia chi,So dien thoai,Email,Hieu truong,Loai hinh,Tong so nguoi,So Hieu truong,So Pho Hieu truong,So Giao vien,So Nhan vien,Tong so lop,Tong so hoc sinh,Lop 1,Hoc sinh lop 1,Lop 2,Hoc sinh lop 2,Lop 3,Hoc sinh lop 3,Lop 4,Hoc sinh lop 4,Lop 5,Hoc sinh lop 5
1,1,Phường An Tịnh,Trường Tiểu học Kim Cương,,,,HỒ THỊ THỦY TIÊN,Tư thục,12,1,,6,5,2,39,1,28,1,11,,,,,,
2,2,Phường An Tịnh,Trường Tiểu học Lộc Hưng,khu phố Lộc An; phường An Tịnh; tỉnh Tây Ninh,,0906614724,Lê Trọng Phú,Công lập,34,1,2,29,2,22,613,4,110,4,108,4,124,5,127,5,144
3,3,Phường An Tịnh,Trường Tiểu học Ngô Văn Tô,Khu phố Suối Sâu; phường An Tịnh; tỉnh Tây Ninh,c1ngovanto.trangbangtn@gmail.com,02763880659,Dương Thanh Hà,Công lập,30,1,,26,3,20,823,4,181,4,160,4,161,4,163,4,158
4,4,Phường An Tịnh,Trường Tiểu học Nguyễn Văn Chấu,Quốc lộ 22; khu phố An Bình; phường An Tịnh; tỉnh Tây Ninh,c1nguyenvanchau.tbang@gmail.com,02763880655,Nguyễn Thị Ngọc Minh,Công lập,34,1,1,27,5,22,877,5,204,4,169,5,191,4,165,4,148
5,5,Phường An Tịnh,Trường Tiểu học Thanh Hòa,Trảng bàng,,,Nguyễn Xuân Phúc,Công lập,43,1,,38,4,25,925,5,186,5,187,5,191,5,180,5,181
6,6,Phường An Tịnh,Trường Tiểu học Thành Phú Khương,Phường An Tịnh; Tỉnh Tây Ninh,c1anthanh.trangbang@gmail.com,0663897045,Trần Văn Dũng,Công lập,46,1,2,38,5,29,,6,224,6,204,6,214,6,228,5,160
7,7,Phường An Tịnh,Trường Tiểu học Tịnh Phong,Khu phố Tịnh Phong; Phường An Tịnh; Tỉnh Tây Ninh,c1tinhphong.trangbang@gmail.com,02763897115,Nguyễn Văn Vững,Công lập,16,1,1,12,2,7,257,1,44,1,43,2,65,2,67,1,38
8,8,Phường Bình Minh,Trường Tiểu học Hoàng Diệu,thành phố Tây Ninh,hoangdieutieuhoc@gmail.com,02763820989,Nguyễn Thị Kim Ngọc,Công lập,20,1,,15,4,10,295,2,56,2,60,2,49,2,77,2,53
9,9,Phường Bình Minh,Trường Tiểu học La Văn Cầu,Số 876; Đường 785; KP Thạnh Đông,lavancau.tptayninh@gmail.com,0973726167,Phạm Thị Bình,Công lập,16,1,,12,3,8,200,1,38,1,29,2,46,2,41,2,46
10,10,Phường Bình Minh,Trường Tiểu học Lê Ngọc Hân,số 04; khu phố Thạnh Trung; phường Bình Minh; tỉnh Tây Ninh,,02763839110,Trịnh Thị Thanh Tâm,Công lập,35,1,1,28,5,23,822,5,173,5,159,5,169,4,160,4,161
