SoTT;NamPhatHanh;So;DangTaiLieu;NgonNguTaiLieu;TenTaiLieu;TacGia;TenNguonTrich;DuLieuNguonTrich;DacTrungSoLuong;PhuChuTaiLieu;ISSNISBN;DeMuc;TuKhoa;TuKhoaPhu;TuKhoaChuaKiemSoat;TuKhoaDiaLy;TuKhoaSinhHoc;TomTatTiengViet;TomTatTiengAnh;KyHieuKhoa;NoiDung;NhanDeDichTAnh;NguonTrichLaKyYeu,TapChi;DiemTapChi;LinhVucKHCN;TuKhoaTAnh;TomTatTAnh
1;2016;DB;BB;Vie;Dự báo tác động của hội nhập kinh tế quốc tế đối với phát triển kinh tế thể dục thể thao Việt Nam;"Lưu Quang Hiệp; Nguyễn Đại Dương";Khoa học Đào tạo và huấn luyện Thể thao;;70-72;;1859-4417;06.71.55;"Dự báo; Tác động; Hội nhập kinh tế; Thể dục thể thao; Việt Nam";;;;;Nghiên cứu tập trung vào dự báo tác động của hội nhập kinh tế quốc tế đối với phát triển kinh tế TDTT Việt Nam trong giai đoạn từ nay đến 2030, góp phần thúc đẩy hoạt động TDTT nhanh chóng trở thành một bộ phận của kinh tế thị trường quốc gia, khu vực và quốc tế.;;TTKHCNQG, CVv435;;;;;;;
2;2016;DB;BB;Vie;Hiện trạng, định hướng và giải pháp liên kết phát triển, hợp tác trong các lĩnh vực văn hóa, gia đình, thể dục thể thao và du lịch vùng kinh tế trọng điểm phía Nam;Hoàng Công Dân;Khoa học Đào tạo và huấn luyện Thể thao;;73-77;;1859-4417;04.51;"Liên kết; Văn hóa; Gia đình; Thể dục thể thao; Du lịch; Vùng kinh tế trọng điểm phía nam";;;;;Văn hóa, gia đình, thể dục thể thao và du lịch là những lĩnh vực quan trọng trong đời sống kinh tế, có mối quan hệ mật thiết với nhau. Những mô hình và phương thức liên kết là một mặt không thể thiếu trong định hướng phát triển ngành Văn hóa, Thể thao và Du lịch của Vùng kinh tế trọng điểm phía Nam, giai đoạn đến năm 2020 và định hướng năm 2030.;;TTKHCNQG, CVv435;;;;;;;
3;2016;DB;BB;Vie;ứng dụng biện pháp nâng cao hiệu quả học tập môn học quản lý báo chí thể dục thể thao cho sinh viên ngành quản lý thể dục thể thao trường đại học thể dục thể thao Bắc Ninh;Nguyễn Cẩm Ninh;Khoa học Đào tạo và huấn luyện Thể thao;;78-83;;1859-4417;19.41;"Biện pháp; Quản lý báo chí; Hiệu quả học tập; Bắc Ninh";;;;;Bằng các phương pháp nghiên cứu thường qui đề tài đã lựa chọn được 6 biện pháp đảm bảo cơ sở khoa học và phù hợp điều kiện thực tiễn giảng dạy nhằm nâng cao hiệu quả học tập môn Qunr lý báo chí cho sinh viên ngành Quản lý. Để khẳng định tính hiệu quả của các biện pháp đã lựa chọn, đề tài tiến hành ứng dụng các biện pháp trong thực tiễn công tác giảng dạy môn học Quản lý báo chí TDTT cho sinh viên ngành quản lý trường ĐH Thể dục Thể thao Bắc Ninh.;;TTKHCNQG, CVv435;;;;;;;
4;2016;DB;BB;Vie;Lựa chọn mã số hàng hóa sử dụng trong thống kê kinh doanh sản phẩm dịch vụ thể thao, văn hóa và giải trí ở thị xã Từ Sơn, Bắc Ninh;Nguyễn Thu Hường;Khoa học Đào tạo và huấn luyện thể thao;;104-113;;1859-4417;83.29;"Mã số; Hàng hóa; Thống kê; Kinh doanh; Sản phẩm; Dịch vụ; Văn hóa; Thể thao; Giải trí; Thị xã Từ Sơn; Bắc Ninh";;;;;Đề tài xác định mã số hàng hóa sử dụng trong thống kê kinh doanh sản phẩm dịch vụ thể thao, văn hóa và giải trí ở thị xã Từ Sơn - Bắc Ninh. Các mã số hàng hóa này để phục vụ việc thống kê tiêu dùng thể thao và các tổ chức cung cấp dịch vụ và hàng hóa thể thao.;;TTKHCNQG, CVv435;;;;;;;
5;2016;DB;BB;Vie;Lựa chọn và đánh giá hiệu quả biện pháp bảo đảm chất lượng cơ sở vật chất môn học giáo dục thể chất của trường đại học Bách khoa, Đại học Đà Nẵng;"Đỗ Quốc Hùng; Lê Quốc Huy";;;84-88;;1859-4417;14.35.18;"Đánh giá; Biện pháp; Đảm bảo chất lượng; Cơ sở vật chất; Môn học giáo dục thể chất; Đại học";;;;;Bài báo tập trung xác định lựa chọn các biện pháp bảo đảm chất lượng về cơ sở vật chất cho môn học giáo dục thể chất trường Đại học Bách khoa - Đại học Đà Nẵng. Đồng thời đánh giá hiệu quả của các biện pháp thông ý kiến phản hồi của giảng viên, sinh viên, kết quả rèn luyện thân thể và kết quả học tập môn tự chọn bóng rổ.;;TTKHCNQG, CVv435;;;Khoa học Đào tạo và huấn luyện thể thao;;;;
6;2016;DB;BB;Vie;Đánh giá thực trạng và đề xuất biện pháp nâng cao kỹ năng hoạt động nhóm trong học tập các môn học lý thuyết của sinh viên khoa giáo dục thể chất trường đại học Bình Dương;Nguyễn Thành Lưu;Khoa học Đào tạo và Huấn luyện Thể dục Thể thao;;95-103;;1859-4417;14.35.18;"Kỹ năng; Hoạt động nhóm; Sinh viên; Môn học lý thuyết; Khoa Giáo dục thể chất; Trường Đại học Bình Dương";;;;;Sử dụng các phương pháp nghiên cứu khoa học thường quy đánh giá thực trạng các kỹ năng hoạt động nhóm trong học tập các môn lý thuyết của sinh viên như: Kỹ năng lắng nghe, kỹ năng thuyết trình, kỹ năng thảo luận, kỹ năng giải quyết vấn đề, kỹ năng hợp tyacs, chia sẻ. Trên cơ sở đó, đề xuất được 03 giải pháp naangc ao kĩ năng hoạt động nhóm trong học tập của sinh viê Khoa Giáo dục thể chất, Trường Đại học Bình Dương.;;TTKHCNQG, CVv435;;;;;;;
7;2016;DB;BB;Vie;Giải pháp nâng cao hiệu quả chương trình đào tạo sinh viên chuyên ngành giáo dục thể chất trường Đại học Thể dục Thể thao Bắc Ninh;Đinh Khánh Thu;Khoa học Đào tạo Thể dục thể thao;;108-113;;1859-4417;14.35.18;"Giải pháp; Sinh viên; Chuyên ngành thể dục; Nhu cầu thực tiễn; Đơn vị tuyển dụng; Chương trình đào tạo";;;;;Dựa trên thực trạng chương trình đào tạo sinh viên chuyên ngành Thể dục ngành học GDTC trong thời gian qua, kết hợp thông tin từ kết quả phỏng vấn nhu cầu của các đơn vị tuyển dụng cũng như thông tin phản hồi của cựu sinh viên khi tham gia công tác, bộ môn Thể dục đề xuất giải pháp nâng cao hiệu quả chương trình đào tạo chuyên ngành, phù hợp điều kiện thực tiễn, giúp sinh viên ra trường có đủ kiến thức và năng lực tham gia vào thị trường lao động.;;TTKHCNQG, CVv435;;;;;;;
8;2016;DB;BB;Vie;Đề xuất giải pháp thực hiện quy trình quản lý điểm tại trường Đại học Thể dục thể thao Bắc Ninh;Đàm Trung Kiên;Khoa học Đào tạo Thể dục thể thao;;114-117;;1859-4417;14.35;"Giải pháp; Qui trình; Lưu trữ điểm; Hiệu quả; Đảm bảo chất lượng";;;;;Qua đánh giá thực trạng quy trình quản lý điểm của trường Đại học TDTT Bắc Ninh kết quả đã khẳng định còn tồn tại những yếu điểm cần khắc phục. Bằng viêc xác định nguyên nhân ảnh hưởng trên cơ sở đó đề xuất giải pháp nhằm thực hiện hiệu quả quy trình quản lý, lưu trữ điểm trong nâng cao chất lượng đào tạo.;;TTKHCNQG, CVv435;;;;;;;
9;2016;DB;BB;Vie;Phát triển dịch vụ thể thao và giải trí từ trên quan điểm quản trị thể dục, thể thao;Ngô Trang Hưng;Khoa học Đào tạo Thể dục thể thao;;118-123;;1859-4417;77.03;"Động lực; Phát triển; Dịch vụ; Thể thao; Quản lý; Kinh tế";;;;;Thông qua cơ sở lý luận về dịch vụ thể thao dưới góc độ chuyên môn, quản lý kinh tế và dẫn giải kinh nghiệm và kết quả nghiên cứu ở một số khu vực, quốc gia và tỉnh Bắc Ninh, bài báo tập trung phân tích để làm rõ phát triển dịch vụ thể thao và giải trí từ lực đẩy quản trị thể thao. Từ đó giúp nhà quản lý định hướng tác động và sử dụng hiệu quả các công cụ để gia tăng dịch vụ thể thao, đpá ứng được ba khía cạnh chính: Xã hội, thu hồi chi phí và công suất sử dụng hiệu quả.;;TTKHCNQG, CVv435;;;;;;;
10;2016;DB;BB;Vie;Đề xuất và ứng dụng giải pháp nâng cao hiệu quả công tác quản lý vận động viên tại Trung tâm Đào tạo vận động viên trường Đại học Thể dục Thể thao Bắc Ninh;"Phạm Ngọc Hải; Nguyễn Hùng Cường";Khoa học Đào tạo Thể dục thể thao;;124-127;;1859-4417;77.03;"Thực trạng; Nguyên nhân; Quản lý vận động viên; Giải pháp; Hiệu quả quản lý; Đội tuyển quốc gia; Đại học Thể dục thể thao Bắc Ninh";;;;;Kết quả đánh giá thực trạng công tác quản lý VĐV và xác định các nguyên nhân ảnh hưởng đến hiệu quả công tác quản lý VĐV của Trung tâm Đào tạo VĐV trường Đại học TDTT Bắc Ninh là cơ sở đề xuất 8 giải pháp nâng cao hiệu quả công tác quản lý VĐV các đội tuyển thể thao quốc gia tại Trung tâm Đào tạo VĐV trường Đại học Thể dục Thể thao;;TTKHCNQG, CVv435;;;;;;;
