Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Vietnam,VNM,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,162746
Vietnam,VNM,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,145850
Vietnam,VNM,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,122958
Vietnam,VNM,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,115487
Vietnam,VNM,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,109501
Vietnam,VNM,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,97817
Vietnam,VNM,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,89106
Vietnam,VNM,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,45776
Vietnam,VNM,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,37627
Vietnam,VNM,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,35375
Vietnam,VNM,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,25086
Vietnam,VNM,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,22127
Vietnam,VNM,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,22405
Vietnam,VNM,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,22578
Vietnam,VNM,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,30768
Vietnam,VNM,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,31620
Vietnam,VNM,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,29659
Vietnam,VNM,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,23722
Vietnam,VNM,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,24610
Vietnam,VNM,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,24534
Vietnam,VNM,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,24105
Vietnam,VNM,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,24347
Vietnam,VNM,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,22768
Vietnam,VNM,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,21167
Vietnam,VNM,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,18397
Vietnam,VNM,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,18062
Vietnam,VNM,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,17750
Vietnam,VNM,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,17450
Vietnam,VNM,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,17150
Vietnam,VNM,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,16500
Vietnam,VNM,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,16150
Vietnam,VNM,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,15600
Vietnam,VNM,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,15100
Vietnam,VNM,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,14600
Vietnam,VNM,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,14100
Vietnam,VNM,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,13600
Vietnam,VNM,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,13100
Vietnam,VNM,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12600
Vietnam,VNM,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12100
Vietnam,VNM,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11600
Vietnam,VNM,2021,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,180.213514511689
Vietnam,VNM,2020,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,180.213514511689
Vietnam,VNM,2019,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,180.213514511689
Vietnam,VNM,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,193.904357585489
Vietnam,VNM,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,208.001286294944
Vietnam,VNM,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,208.620988527327
Vietnam,VNM,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,218.84628547881
Vietnam,VNM,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,183.604927108867
Vietnam,VNM,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,216.890356589017
Vietnam,VNM,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,194.374251020027
Vietnam,VNM,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,243.87601419994
Vietnam,VNM,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,258.303019422603
Vietnam,VNM,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,311.499220491955
Vietnam,VNM,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,208.076670812243
Vietnam,VNM,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,269.336265735745
Vietnam,VNM,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,266.170155051639
Vietnam,VNM,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,258.466992141214
Vietnam,VNM,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,363.736573247892
Vietnam,VNM,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,443.617140304147
Vietnam,VNM,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,441.188638175597
