as_of_date,fiscal_year,region,borrower_country,borrower_country_code,project_id,project_name,procurement_category,procurement_method,project_global_practice,wb_contract_number,contract_description,contract_signing_date,supplier,supplier_country,supplier_country_code,supplier_contract_amount_usd,borrower_contract_reference_number,review_type
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1538442,Lot 3: DEP-CPC-AMR-G1: Procurement of Metering Data Management System (MDMS) for CPC,2016-08-10,FPT INFORMATION SYSTEM CORPORATION FIS,Viet Nam,VN,399568.020000,CPC/DEP-AMR-G1-LOT 3/CPC-FIS & L,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P125996,Distribution Efficiency Project,Goods,International Competitive Bidding,Energy and Extractives,1538442,Lot 3: DEP-CPC-AMR-G1: Procurement of Metering Data Management System (MDMS) for CPC,2016-08-10,LANDIS & GYR PTY LTD,Australia,AU,399568.020000,CPC/DEP-AMR-G1-LOT 3/CPC-FIS & L,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P103238,Vietnam Renewable Energy Development Project,Consultant Services,Single Source Selection,Energy and Extractives,1541107,Collect data of biomass resource and planning in the North of Vietnam,2016-07-25,VIETNAM NATIONAL UNIVERSITY OF AGRICULTURE (VNUA),Viet Nam,VN,83503.060000,PACKAGE 2.2.4.B1,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541267,"TU-G03: Supply and Installation Control System, Protection System, and Measurement System, Control Cables, Communication system and SCADA (including Testing Communication system, SCADA)",2016-08-02,"SIEMENS, LTD.",Viet Nam,VN,956389.340000,TU-G03,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P131558,Transmission Efficiency Project (TEP),Goods,Request for Bids,Energy and Extractives,1541267,"TU-G03: Supply and Installation Control System, Protection System, and Measurement System, Control Cables, Communication system and SCADA (including Testing Communication system, SCADA)",2016-08-02,EDH TECHNOLOGY DEVELOPMENT JSC (VIETNAM),Viet Nam,VN,956389.340000,TU-G03,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113493,Second Northern Mountains Poverty Reduction Project,Consultant Services,Quality And Cost-Based Selection,"Financial Sector;Education;Agriculture, Fishing and Forestry;Public Administration",1541441,CQS consulting services package in Son La,2016-07-01,CONSTRUCTION CONSULTANCY COMPANY LIMITED NO. 319,Viet Nam,VN,63807.670000,CQS-01.2015SL,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P119090,Hospital Waste Management Support Project,Goods,International Competitive Bidding,"Health;Water, Sanitation and Waste Management",1541478,Provision of Mobile Lab,2016-08-31,"MEDIHITECH VIETNAM CO.,LTD",Viet Nam,VN,397520.550000,CPMU/C1/G/02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P119090,Hospital Waste Management Support Project,Goods,International Competitive Bidding,"Health;Water, Sanitation and Waste Management",1541478,Provision of Mobile Lab,2016-08-31,WAGTECH PROJECTS LTD,United Kingdom,GB,397520.550000,CPMU/C1/G/02,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P110693,Vietnam New Model University Project,Goods,Direct Selection,Education,1541485,VMU - Purchase of Texas Instruments Digital Signal Processors TMS320C6747 kits for EEIT and MSST programs,2016-07-04,NAM A DEVELOPMENT AND INVESTMENT CO. LTD.,Viet Nam,VN,21344.430000,06/2016/VMU-HD/P20-Y16-G,Prior
2024-10-05,2017,EAST ASIA AND PACIFIC,Vietnam,VN,P113493,Second Northern Mountains Poverty Reduction Project,Consultant Services,Consultant Qualification  Selection,"Financial Sector;Education;Agriculture, Fishing and Forestry;Public Administration",1541547,CQS consulting services package,2016-07-09,LAO CAI TRANSPORTATION CONSTRUCTION CONSULTANCY JOINT STOCK COMPANY,Viet Nam,VN,58329.710000,LAO CAO - TVKSGT/2015,Prior
