Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Vietnam,VNM,2021,Control of Corruption: Estimate,CC.EST,-0.285784244537354
Vietnam,VNM,2020,Control of Corruption: Estimate,CC.EST,-0.351731240749359
Vietnam,VNM,2019,Control of Corruption: Estimate,CC.EST,-0.524321258068085
Vietnam,VNM,2018,Control of Corruption: Estimate,CC.EST,-0.488851457834244
Vietnam,VNM,2017,Control of Corruption: Estimate,CC.EST,-0.5993931889534
Vietnam,VNM,2016,Control of Corruption: Estimate,CC.EST,-0.457354843616486
Vietnam,VNM,2015,Control of Corruption: Estimate,CC.EST,-0.429407835006714
Vietnam,VNM,2014,Control of Corruption: Estimate,CC.EST,-0.438092947006226
Vietnam,VNM,2013,Control of Corruption: Estimate,CC.EST,-0.482674777507782
Vietnam,VNM,2012,Control of Corruption: Estimate,CC.EST,-0.532105982303619
Vietnam,VNM,2011,Control of Corruption: Estimate,CC.EST,-0.614729940891266
Vietnam,VNM,2010,Control of Corruption: Estimate,CC.EST,-0.622543275356293
Vietnam,VNM,2009,Control of Corruption: Estimate,CC.EST,-0.545064032077789
Vietnam,VNM,2008,Control of Corruption: Estimate,CC.EST,-0.711532890796661
Vietnam,VNM,2007,Control of Corruption: Estimate,CC.EST,-0.630165636539459
Vietnam,VNM,2006,Control of Corruption: Estimate,CC.EST,-0.747617363929749
Vietnam,VNM,2005,Control of Corruption: Estimate,CC.EST,-0.7295823097229
Vietnam,VNM,2004,Control of Corruption: Estimate,CC.EST,-0.756660282611847
Vietnam,VNM,2003,Control of Corruption: Estimate,CC.EST,-0.49087256193161
Vietnam,VNM,2002,Control of Corruption: Estimate,CC.EST,-0.560990810394287
Vietnam,VNM,2000,Control of Corruption: Estimate,CC.EST,-0.584863126277924
Vietnam,VNM,1998,Control of Corruption: Estimate,CC.EST,-0.491153985261917
Vietnam,VNM,1996,Control of Corruption: Estimate,CC.EST,-0.489798933267593
Vietnam,VNM,2021,Control of Corruption: Number of Sources,CC.NO.SRC,10
Vietnam,VNM,2020,Control of Corruption: Number of Sources,CC.NO.SRC,10
Vietnam,VNM,2019,Control of Corruption: Number of Sources,CC.NO.SRC,11
Vietnam,VNM,2018,Control of Corruption: Number of Sources,CC.NO.SRC,11
Vietnam,VNM,2017,Control of Corruption: Number of Sources,CC.NO.SRC,12
Vietnam,VNM,2016,Control of Corruption: Number of Sources,CC.NO.SRC,12
Vietnam,VNM,2015,Control of Corruption: Number of Sources,CC.NO.SRC,14
Vietnam,VNM,2014,Control of Corruption: Number of Sources,CC.NO.SRC,14
Vietnam,VNM,2013,Control of Corruption: Number of Sources,CC.NO.SRC,15
Vietnam,VNM,2012,Control of Corruption: Number of Sources,CC.NO.SRC,16
Vietnam,VNM,2011,Control of Corruption: Number of Sources,CC.NO.SRC,16
Vietnam,VNM,2010,Control of Corruption: Number of Sources,CC.NO.SRC,15
Vietnam,VNM,2009,Control of Corruption: Number of Sources,CC.NO.SRC,14
Vietnam,VNM,2008,Control of Corruption: Number of Sources,CC.NO.SRC,14
Vietnam,VNM,2007,Control of Corruption: Number of Sources,CC.NO.SRC,14
Vietnam,VNM,2006,Control of Corruption: Number of Sources,CC.NO.SRC,14
Vietnam,VNM,2005,Control of Corruption: Number of Sources,CC.NO.SRC,11
Vietnam,VNM,2004,Control of Corruption: Number of Sources,CC.NO.SRC,9
Vietnam,VNM,2003,Control of Corruption: Number of Sources,CC.NO.SRC,8
Vietnam,VNM,2002,Control of Corruption: Number of Sources,CC.NO.SRC,6
Vietnam,VNM,2000,Control of Corruption: Number of Sources,CC.NO.SRC,6
Vietnam,VNM,1998,Control of Corruption: Number of Sources,CC.NO.SRC,6
Vietnam,VNM,1996,Control of Corruption: Number of Sources,CC.NO.SRC,6
Vietnam,VNM,2021,Control of Corruption: Percentile Rank,CC.PER.RNK,47.1153831481934
Vietnam,VNM,2020,Control of Corruption: Percentile Rank,CC.PER.RNK,42.788459777832
Vietnam,VNM,2019,Control of Corruption: Percentile Rank,CC.PER.RNK,33.1730766296387
Vietnam,VNM,2018,Control of Corruption: Percentile Rank,CC.PER.RNK,37.019229888916
Vietnam,VNM,2017,Control of Corruption: Percentile Rank,CC.PER.RNK,31.25
Vietnam,VNM,2016,Control of Corruption: Percentile Rank,CC.PER.RNK,37.5
Vietnam,VNM,2015,Control of Corruption: Percentile Rank,CC.PER.RNK,41.8269233703613
Vietnam,VNM,2014,Control of Corruption: Percentile Rank,CC.PER.RNK,41.8269233703613
Vietnam,VNM,2013,Control of Corruption: Percentile Rank,CC.PER.RNK,38.3886260986328
Vietnam,VNM,2012,Control of Corruption: Percentile Rank,CC.PER.RNK,35.5450248718262
Vietnam,VNM,2011,Control of Corruption: Percentile Rank,CC.PER.RNK,32.7014236450195
Vietnam,VNM,2010,Control of Corruption: Percentile Rank,CC.PER.RNK,31.4285717010498
Vietnam,VNM,2009,Control of Corruption: Percentile Rank,CC.PER.RNK,35.4067001342773
Vietnam,VNM,2008,Control of Corruption: Percentile Rank,CC.PER.RNK,28.6407775878906
Vietnam,VNM,2007,Control of Corruption: Percentile Rank,CC.PER.RNK,31.5533981323242
Vietnam,VNM,2006,Control of Corruption: Percentile Rank,CC.PER.RNK,25.3658542633057
Vietnam,VNM,2005,Control of Corruption: Percentile Rank,CC.PER.RNK,25.8536586761475
Vietnam,VNM,2004,Control of Corruption: Percentile Rank,CC.PER.RNK,26.6009845733643
Vietnam,VNM,2003,Control of Corruption: Percentile Rank,CC.PER.RNK,39.6825408935547
Vietnam,VNM,2002,Control of Corruption: Percentile Rank,CC.PER.RNK,35.4497337341309
Vietnam,VNM,2000,Control of Corruption: Percentile Rank,CC.PER.RNK,36.1702117919922
Vietnam,VNM,1998,Control of Corruption: Percentile Rank,CC.PER.RNK,38.5026741027832
Vietnam,VNM,1996,Control of Corruption: Percentile Rank,CC.PER.RNK,37.0967750549316
Vietnam,VNM,2021,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,32.211540222168
Vietnam,VNM,2020,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,28.8461532592773
Vietnam,VNM,2019,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,25.9615383148193
Vietnam,VNM,2018,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,26.4423084259033
Vietnam,VNM,2017,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,21.1538467407227
Vietnam,VNM,2016,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,26.9230766296387
Vietnam,VNM,2015,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,29.8076915740967
Vietnam,VNM,2014,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,29.8076915740967
Vietnam,VNM,2013,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,27.488151550293
Vietnam,VNM,2012,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,26.5402851104736
Vietnam,VNM,2011,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,20.8530807495117
Vietnam,VNM,2010,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,20.9523811340332
Vietnam,VNM,2009,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,23.4449768066406
Vietnam,VNM,2008,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,17.9611644744873
